<TIME>,<LAST>
000732,68.227000000
000733,68.246000000
000733,68.228000000
000735,68.228000000
000735,68.282700000
000739,68.228000000
000741,68.228000000
000755,68.228000000
000756,68.228000000
000805,68.226000000
000806,68.226000000
000807,68.226000000
000808,68.226000000
000809,68.226000000
000810,68.226000000
000811,68.226000000
000812,68.226000000
000813,68.226000000
000823,68.227000000
000824,68.226000000
000826,68.227000000
000827,68.226000000
000829,68.226000000
000830,68.226000000
000833,68.226000000
000834,68.226000000
000837,68.226000000
000839,68.226000000
000840,68.226000000
000843,68.226000000
000844,68.226000000
000847,68.226000000
000854,68.226000000
000900,68.282100000
000926,68.226000000
000928,68.226000000
000953,68.226000000
001000,68.297000000
001000,68.282700000
001031,68.282100000
001051,68.226000000
001052,68.226000000
001053,68.226000000
001109,68.227000000
001110,68.227000000
001110,68.282700000
001112,68.227000000
001113,68.226000000
001115,68.226000000
001116,68.227000000
001117,68.226000000
001118,68.227000000
001121,68.227000000
001122,68.226000000
001125,68.226000000
001128,68.227000000
001129,68.227000000
001130,68.226000000
001132,68.226000000
001132,68.226000000
001136,68.226000000
001136,68.225000000
001140,68.226000000
001141,68.282100000
001153,68.226000000
001155,68.225000000
001204,68.226000000
001208,68.225000000
001209,68.225000000
001209,68.226000000
001210,68.226000000
001212,68.282100000
001218,68.226000000
001229,68.227000000
001243,68.282100000
001252,68.226000000
001311,68.225000000
001312,68.226000000
001313,68.226000000
001316,68.226000000
001316,68.284600000
001316,68.247000000
001317,68.228000000
001319,68.228000000
001320,68.229000000
001321,68.228000000
001322,68.229000000
001323,68.228000000
001324,68.228000000
001325,68.229000000
001326,68.229000000
001327,68.229000000
001328,68.228000000
001328,68.229000000
001331,68.229000000
001332,68.228000000
001333,68.229000000
001336,68.229000000
001337,68.227000000
001338,68.227000000
001339,68.228000000
001340,68.226000000
001341,68.227000000
001342,68.228000000
001347,68.286400000
001352,68.228000000
001355,68.228000000
001359,68.228000000
001400,68.231000000
001401,68.231000000
001402,68.231000000
001403,68.231000000
001404,68.231000000
001405,68.231000000
001408,68.231000000
001416,68.251000000
001418,68.289500000
001419,68.231000000
001421,68.230000000
001422,68.230000000
001423,68.230000000
001424,68.230000000
001425,68.231000000
001426,68.231000000
001427,68.231000000
001428,68.231000000
001429,68.231000000
001434,68.231000000
001436,68.231000000
001437,68.232000000
001438,68.232000000
001439,68.233000000
001440,68.233000000
001441,68.233000000
001442,68.233000000
001443,68.233000000
001444,68.233000000
001445,68.233000000
001446,68.231000000
001447,68.231000000
001448,68.231000000
001449,68.231000000
001449,68.289500000
001450,68.231000000
001500,68.303000000
001505,68.231000000
001508,68.232000000
001509,68.232000000
001510,68.232000000
001511,68.233000000
001513,68.232000000
001515,68.233000000
001517,68.232000000
001518,68.233000000
001520,68.288300000
001535,68.232000000
001536,68.233000000
001541,68.233000000
001544,68.232000000
001545,68.233000000
001546,68.233000000
001551,68.288900000
001558,68.233000000
001601,68.233000000
001601,68.233000000
001608,68.233000000
001616,68.233000000
001617,68.233000000
001618,68.262000000
001618,68.239000000
001619,68.240000000
001622,68.300000000
001622,68.241000000
001627,68.242000000
001633,68.242000000
001634,68.244000000
001646,68.243000000
001647,68.244000000
001648,68.265000000
001650,68.243000000
001652,68.244000000
001653,68.303100000
001700,68.244000000
001700,68.243000000
001701,68.244000000
001704,68.244000000
001705,68.243000000
001707,68.244000000
001708,68.243000000
001709,68.244000000
001710,68.244000000
001711,68.244000000
001712,68.244000000
001715,68.243000000
001716,68.244000000
001719,68.244000000
001720,68.244000000
001722,68.244000000
001724,68.303100000
001743,68.245000000
001744,68.246000000
001801,68.245000000
001817,68.245000000
001818,68.245000000
001820,68.245000000
001821,68.244000000
001822,68.244000000
001823,68.245000000
001824,68.244000000
001825,68.245000000
001828,68.245000000
001834,68.245000000
001839,68.245000000
001845,68.245000000
001846,68.245000000
001848,68.245000000
001849,68.306100000
001849,68.246000000
001850,68.269000000
001851,68.245000000
001853,68.246000000
001854,68.246000000
001857,68.246000000
001858,68.246000000
001859,68.246000000
001900,68.246000000
001901,68.246000000
001903,68.247000000
001904,68.246000000
001910,68.246000000
001914,68.245000000
001915,68.246000000
001916,68.246000000
001920,68.246000000
001921,68.306100000
001921,68.246000000
001926,68.246000000
001927,68.246000000
001945,68.246000000
001949,68.246000000
002000,68.340000000
002000,68.306800000
002007,68.245000000
002008,68.243000000
002015,68.243000000
002018,68.242000000
002019,68.242000000
002022,68.243000000
002022,68.242000000
002024,68.242000000
002025,68.243000000
002026,68.242000000
002031,68.304900000
002031,68.242000000
002032,68.242000000
002033,68.243000000
002036,68.243000000
002037,68.241000000
002038,68.240000000
002039,68.266000000
002040,68.239000000
002041,68.240000000
002042,68.240000000
002044,68.240000000
002050,68.240000000
002051,68.243000000
002052,68.243000000
002054,68.243000000
002056,68.243000000
002101,68.243000000
002102,68.305500000
002102,68.243000000
002104,68.243000000
002105,68.243000000
002106,68.242000000
002109,68.269000000
002110,68.243000000
002112,68.242000000
002113,68.243000000
002117,68.243000000
002121,68.244000000
002122,68.243000000
002124,68.243000000
002126,68.243000000
002127,68.243000000
002128,68.244000000
002129,68.243000000
002131,68.243000000
002132,68.243000000
002133,68.306100000
002138,68.244000000
002146,68.244000000
002159,68.244000000
002200,68.244000000
002211,68.245000000
002212,68.244000000
002216,68.245000000
002227,68.244000000
002228,68.245000000
002229,68.244000000
002238,68.245000000
002248,68.246000000
002249,68.307400000
002250,68.247000000
002250,68.272000000
002252,68.247000000
002253,68.247000000
002316,68.247000000
002317,68.247000000
002318,68.247000000
002319,68.247000000
002320,68.309200000
002320,68.246000000
002321,68.249000000
002322,68.275000000
002333,68.248000000
002336,68.248000000
002339,68.248000000
002349,68.248000000
002351,68.312900000
002356,68.249000000
002400,68.249000000
002402,68.249000000
002403,68.248000000
002405,68.248000000
002411,68.248000000
002412,68.248000000
002413,68.249000000
002414,68.249000000
002416,68.249000000
002417,68.248000000
002420,68.248000000
002421,68.248000000
002422,68.248000000
002423,68.248000000
002424,68.248000000
002428,68.248000000
002430,68.248000000
002455,68.248000000
002457,68.248000000
002500,68.326000000
002505,68.248000000
002516,68.248000000
002517,68.248000000
002518,68.248000000
002523,68.248000000
002524,68.248000000
002526,68.249000000
002527,68.315400000
002527,68.310000000
002528,68.251000000
002528,68.279000000
002539,68.251000000
002539,68.251000000
002540,68.251000000
002548,68.251000000
002549,68.251000000
002558,68.315400000
002601,68.251000000
002603,68.251000000
002605,68.251000000
002606,68.251000000
002619,68.251000000
002620,68.251000000
002628,68.251000000
002629,68.316600000
002633,68.251000000
002638,68.251000000
002641,68.251000000
002642,68.251000000
002643,68.252000000
002644,68.251000000
002646,68.251000000
002647,68.251000000
002652,68.251000000
002652,68.253000000
002653,68.251000000
002700,68.316600000
002705,68.251000000
002707,68.253000000
002708,68.254000000
002711,68.254000000
002711,68.281000000
002715,68.254000000
002720,68.254000000
002721,68.254000000
002728,68.254000000
002731,68.319100000
002731,68.254000000
002732,68.253000000
002733,68.254000000
002738,68.254000000
002739,68.254000000
002741,68.254000000
002749,68.254000000
002757,68.254000000
002758,68.254000000
002804,68.254000000
002808,68.254000000
002813,68.254000000
002814,68.254000000
002816,68.318500000
002816,68.252000000
002817,68.279000000
002817,68.253000000
002818,68.253000000
002819,68.253000000
002820,68.254000000
002821,68.253000000
002822,68.254000000
002823,68.254000000
002825,68.254000000
002826,68.254000000
002827,68.253000000
002838,68.253000000
002847,68.317800000
002847,68.281000000
002851,68.253000000
002855,68.253000000
002856,68.253000000
002857,68.254000000
002901,68.253000000
002902,68.254000000
002904,68.253000000
002905,68.254000000
002910,68.254000000
002911,68.255000000
002912,68.256000000
002913,68.256000000
002914,68.257000000
002915,68.256000000
002916,68.257000000
002918,68.257000000
002919,68.257000000
002919,68.318500000
002921,68.257000000
002922,68.257000000
002928,68.256000000
002929,68.257000000
002930,68.256000000
002931,68.257000000
002932,68.257000000
002933,68.256000000
002935,68.256000000
002936,68.256000000
002940,68.257000000
002941,68.257000000
002942,68.257000000
002944,68.257000000
002950,68.318500000
003000,68.332000000
003000,68.257000000
003001,68.257000000
003002,68.257000000
003003,68.257000000
003004,68.254000000
003007,68.255000000
003008,68.254000000
003009,68.255000000
003011,68.254000000
003012,68.255000000
003019,68.256000000
003020,68.256000000
003021,68.315400000
003021,68.255000000
003024,68.255000000
003025,68.255000000
003026,68.255000000
003027,68.279000000
003027,68.256000000
003029,68.256000000
003030,68.257000000
003031,68.257000000
003032,68.257000000
003035,68.257000000
003039,68.257000000
003053,68.317800000
003057,68.281000000
003059,68.257000000
003100,68.257000000
003102,68.257000000
003103,68.257000000
003104,68.257000000
003105,68.257000000
003106,68.257000000
003107,68.257000000
003109,68.257000000
003110,68.257000000
003111,68.258000000
003112,68.256000000
003113,68.256000000
003114,68.257000000
003115,68.256000000
003119,68.256000000
003120,68.256000000
003122,68.256000000
003123,68.256000000
003124,68.257000000
003125,68.256000000
003126,68.256000000
003127,68.256000000
003128,68.257000000
003129,68.257000000
003130,68.254000000
003131,68.255000000
003131,68.316000000
003132,68.255000000
003132,68.254000000
003133,68.255000000
003134,68.254000000
003134,68.279000000
003139,68.253000000
003144,68.253000000
003145,68.252000000
003147,68.252000000
003147,68.252000000
003148,68.252000000
003151,68.252000000
003152,68.252000000
003153,68.252000000
003154,68.252000000
003155,68.253000000
003156,68.252000000
003157,68.252000000
003200,68.250000000
003201,68.249000000
003203,68.311700000
003204,68.249000000
003204,68.275000000
003209,68.249000000
003210,68.251000000
003216,68.251000000
003217,68.251000000
003218,68.249000000
003224,68.249000000
003226,68.250000000
003227,68.249000000
003236,68.249000000
003239,68.249000000
003240,68.249000000
003241,68.249000000
003242,68.249000000
003243,68.249000000
003244,68.311100000
003249,68.248000000
003250,68.249000000
003257,68.250000000
003258,68.248000000
003259,68.249000000
003300,68.249000000
003301,68.249000000
003305,68.248000000
003306,68.249000000
003307,68.249000000
003308,68.249000000
003309,68.249000000
003310,68.249000000
003311,68.249000000
003312,68.249000000
003314,68.248000000
003315,68.247000000
003315,68.309800000
003316,68.246000000
003317,68.246000000
003318,68.246000000
003328,68.245000000
003329,68.244000000
003331,68.244000000
003332,68.245000000
003333,68.245000000
003334,68.244000000
003335,68.243000000
003338,68.243000000
003339,68.244000000
003340,68.243000000
003341,68.243000000
003342,68.244000000
003343,68.243000000
003344,68.243000000
003345,68.268000000
003346,68.243000000
003346,68.305500000
003346,68.244000000
003347,68.244000000
003348,68.243000000
003349,68.243000000
003350,68.244000000
003351,68.243000000
003353,68.243000000
003400,68.243000000
003402,68.243000000
003405,68.243000000
003406,68.242000000
003407,68.243000000
003409,68.243000000
003409,68.243000000
003410,68.243000000
003411,68.241000000
003414,68.241000000
003414,68.240000000
003415,68.268000000
003417,68.304300000
003417,68.241000000
003418,68.239000000
003419,68.241000000
003421,68.242000000
003422,68.240000000
003423,68.239000000
003427,68.239000000
003428,68.237000000
003429,68.237000000
003431,68.237000000
003432,68.237000000
003433,68.238000000
003434,68.238000000
003435,68.238000000
003437,68.237000000
003438,68.237000000
003439,68.236000000
003441,68.236000000
003442,68.236000000
003443,68.235000000
003444,68.235000000
003445,68.236000000
003445,68.261000000
003446,68.237000000
003448,68.295100000
003449,68.238000000
003450,68.237000000
003451,68.238000000
003452,68.238000000
003454,68.238000000
003459,68.237000000
003500,68.310000000
003500,68.238000000
003505,68.237000000
003506,68.237000000
003507,68.236000000
003508,68.236000000
003511,68.237000000
003515,68.258000000
003519,68.295700000
003523,68.237000000
003523,68.237000000
003524,68.237000000
003525,68.237000000
003525,68.238000000
003526,68.237000000
003530,68.237000000
003531,68.237000000
003532,68.237000000
003534,68.238000000
003535,68.238000000
003537,68.238000000
003537,68.237000000
003538,68.237000000
003539,68.237000000
003540,68.239000000
003546,68.262000000
003546,68.239000000
003547,68.239000000
003550,68.298800000
003550,68.239000000
003556,68.239000000
003557,68.240000000
003604,68.240000000
003605,68.239000000
003606,68.240000000
003607,68.240000000
003609,68.240000000
003612,68.240000000
003613,68.240000000
003613,68.243000000
003615,68.243000000
003616,68.266000000
003616,68.242000000
003617,68.243000000
003618,68.243000000
003619,68.243000000
003620,68.243000000
003621,68.303100000
003622,68.243000000
003624,68.242000000
003625,68.243000000
003629,68.243000000
003630,68.243000000
003631,68.243000000
003632,68.243000000
003633,68.243000000
003633,68.243000000
003634,68.239000000
003635,68.239000000
003642,68.238000000
003646,68.263000000
003652,68.298800000
003700,68.239000000
003701,68.239000000
003707,68.239000000
003720,68.238000000
003721,68.238000000
003723,68.299400000
003730,68.239000000
003735,68.239000000
003744,68.239000000
003745,68.239000000
003746,68.240000000
003747,68.239000000
003748,68.239000000
003750,68.239000000
003754,68.298800000
003755,68.239000000
003756,68.238000000
003757,68.261000000
003758,68.237000000
003803,68.238000000
003804,68.239000000
003807,68.239000000
003808,68.239000000
003809,68.240000000
003812,68.240000000
003820,68.240000000
003821,68.240000000
003825,68.300600000
003827,68.263000000
003830,68.240000000
003834,68.240000000
003838,68.239000000
003839,68.240000000
003840,68.240000000
003844,68.240000000
003845,68.240000000
003846,68.239000000
003847,68.240000000
003848,68.241000000
003850,68.240000000
003851,68.241000000
003852,68.240000000
003853,68.241000000
003854,68.242000000
003856,68.241000000
003856,68.298800000
003857,68.242000000
003858,68.240000000
003859,68.261000000
003859,68.240000000
003901,68.241000000
003902,68.242000000
003906,68.241000000
003907,68.240000000
003908,68.241000000
003909,68.240000000
003910,68.240000000
003912,68.239000000
003913,68.241000000
003916,68.241000000
003917,68.241000000
003924,68.240000000
003925,68.241000000
003926,68.241000000
003927,68.298800000
003927,68.239000000
003929,68.260000000
003930,68.239000000
003933,68.239000000
003934,68.238000000
003936,68.239000000
003939,68.239000000
003940,68.239000000
003958,68.295700000
004000,68.330000000
004004,68.239000000
004005,68.239000000
004006,68.241000000
004007,68.242000000
004008,68.242000000
004013,68.242000000
004016,68.241000000
004017,68.242000000
004018,68.263000000
004018,68.242000000
004024,68.242000000
004028,68.241000000
004029,68.298100000
004029,68.242000000
004035,68.241000000
004037,68.240000000
004038,68.238000000
004040,68.238000000
004041,68.239000000
004044,68.238000000
004047,68.260000000
004047,68.239000000
004048,68.239000000
004049,68.238000000
004054,68.238000000
004055,68.239000000
004058,68.239000000
004059,68.238000000
004100,68.295100000
004101,68.238000000
004102,68.238000000
004103,68.238000000
004104,68.238000000
004111,68.238000000
004112,68.238000000
004114,68.238000000
004115,68.237000000
004116,68.238000000
004117,68.238000000
004118,68.240000000
004119,68.240000000
004120,68.263000000
004121,68.239000000
004122,68.239000000
004131,68.297500000
004131,68.238000000
004132,68.240000000
004134,68.240000000
004136,68.241000000
004137,68.241000000
004139,68.240000000
004141,68.241000000
004142,68.242000000
004143,68.242000000
004144,68.242000000
004145,68.241000000
004146,68.241000000
004147,68.241000000
004148,68.241000000
004149,68.242000000
004150,68.241000000
004151,68.241000000
004153,68.242000000
004202,68.298800000
004216,68.241000000
004217,68.240000000
004219,68.240000000
004219,68.240000000
004220,68.261000000
004220,68.242000000
004222,68.242000000
004222,68.242000000
004223,68.242000000
004233,68.241000000
004233,68.298800000
004234,68.242000000
004235,68.242000000
004237,68.242000000
004240,68.242000000
004241,68.242000000
004243,68.242000000
004244,68.241000000
004247,68.242000000
004248,68.241000000
004250,68.263000000
004252,68.242000000
004253,68.241000000
004257,68.242000000
004258,68.241000000
004301,68.241000000
004302,68.240000000
004304,68.298100000
004305,68.241000000
004306,68.241000000
004309,68.242000000
004310,68.242000000
004312,68.242000000
004313,68.242000000
004314,68.242000000
004316,68.242000000
004317,68.241000000
004322,68.242000000
004335,68.298800000
004344,68.241000000
004345,68.242000000
004357,68.241000000
004406,68.298800000
004407,68.241000000
004412,68.242000000
004413,68.241000000
004414,68.242000000
004415,68.242000000
004416,68.242000000
004417,68.242000000
004418,68.241000000
004419,68.241000000
004420,68.241000000
004421,68.241000000
004422,68.241000000
004423,68.241000000
004424,68.241000000
004425,68.241000000
004428,68.241000000
004429,68.242000000
004431,68.241000000
004435,68.241000000
004436,68.241000000
004447,68.242000000
004453,68.241000000
004454,68.242000000
004500,68.314000000
004501,68.242000000
004502,68.299400000
004502,68.242000000
004504,68.243000000
004505,68.244000000
004506,68.244000000
004507,68.264000000
004508,68.244000000
004509,68.243000000
004509,68.297000000
004510,68.243000000
004515,68.244000000
004516,68.243000000
004517,68.243000000
004521,68.244000000
004522,68.243000000
004523,68.242000000
004524,68.242000000
004525,68.243000000
004527,68.243000000
004529,68.243000000
004530,68.243000000
004533,68.300600000
004534,68.242000000
004535,68.241000000
004537,68.243000000
004540,68.242000000
004541,68.242000000
004549,68.242000000
004552,68.241000000
004600,68.242000000
004601,68.241000000
004602,68.242000000
004603,68.241000000
004604,68.241000000
004606,68.241000000
004607,68.241000000
004608,68.241000000
004609,68.241000000
004613,68.241000000
004614,68.241000000
004631,68.241000000
004633,68.240000000
004633,68.299400000
004638,68.240000000
004639,68.240000000
004643,68.240000000
004644,68.240000000
004647,68.263000000
004650,68.240000000
004652,68.240000000
004653,68.240000000
004654,68.240000000
004700,68.239000000
004702,68.240000000
004704,68.299400000
004708,68.240000000
004709,68.242000000
004710,68.243000000
004711,68.243000000
004715,68.243000000
004716,68.243000000
004721,68.243000000
004722,68.243000000
004726,68.243000000
004727,68.243000000
004728,68.243000000
004730,68.243000000
004731,68.243000000
004733,68.243000000
004733,68.243000000
004734,68.243000000
004735,68.299400000
004736,68.243000000
004739,68.242000000
004741,68.241000000
004742,68.242000000
004742,68.261000000
004744,68.242000000
004744,68.242000000
004745,68.242000000
004747,68.242000000
004748,68.242000000
004750,68.243000000
004752,68.241000000
004752,68.242000000
004757,68.242000000
004759,68.242000000
004806,68.297500000
004831,68.243000000
004833,68.242000000
004834,68.242000000
004837,68.297500000
004839,68.242000000
004842,68.242000000
004849,68.242000000
004859,68.242000000
004900,68.242000000
004902,68.241000000
004908,68.296900000
004921,68.241000000
004922,68.241000000
004927,68.241000000
004929,68.241000000
004934,68.241000000
004935,68.239000000
004935,68.258000000
004936,68.239000000
004937,68.238000000
004939,68.294500000
004941,68.239000000
004942,68.239000000
004943,68.240000000
004947,68.240000000
004948,68.241000000
004952,68.241000000
004954,68.242000000
004956,68.242000000
005000,68.328000000
005000,68.242000000
005004,68.242000000
005010,68.294500000
005037,68.242000000
005038,68.242000000
005039,68.244000000
005040,68.260000000
005041,68.296900000
005041,68.243000000
005043,68.243000000
005044,68.242000000
005045,68.243000000
005047,68.243000000
005048,68.243000000
005052,68.242000000
005053,68.243000000
005054,68.241000000
005058,68.241000000
005059,68.240000000
005100,68.241000000
005111,68.240000000
005112,68.296100000
005122,68.240000000
005126,68.240000000
005127,68.240000000
005133,68.241000000
005134,68.242000000
005140,68.241000000
005141,68.242000000
005142,68.241000000
005143,68.295700000
005143,68.242000000
005146,68.241000000
005147,68.240000000
005150,68.240000000
005151,68.239000000
005152,68.239000000
005153,68.258000000
005155,68.239000000
005156,68.239000000
005201,68.240000000
005202,68.240000000
005203,68.240000000
005204,68.240000000
005207,68.240000000
005208,68.239000000
005210,68.239000000
005213,68.239000000
005214,68.295700000
005220,68.239000000
005220,68.239000000
005221,68.239000000
005222,68.239000000
005223,68.260000000
005225,68.239000000
005226,68.239000000
005230,68.240000000
005234,68.240000000
005235,68.241000000
005236,68.240000000
005237,68.240000000
005238,68.240000000
005240,68.240000000
005241,68.240000000
005242,68.240000000
005245,68.295500000
005246,68.241000000
005251,68.241000000
005252,68.241000000
005253,68.241000000
005254,68.241000000
005255,68.242000000
005256,68.241000000
005259,68.241000000
005301,68.239000000
005305,68.239000000
005307,68.239000000
005309,68.239000000
005309,68.239000000
005316,68.296400000
005322,68.239000000
005323,68.239000000
005325,68.240000000
005326,68.239000000
005327,68.240000000
005328,68.240000000
005332,68.240000000
005334,68.240000000
005335,68.240000000
005338,68.241000000
005340,68.240000000
005342,68.241000000
005343,68.240000000
005346,68.241000000
005347,68.241000000
005347,68.297000000
005347,68.241000000
005350,68.240000000
005352,68.241000000
005354,68.242000000
005355,68.242000000
005356,68.243000000
005402,68.243000000
005403,68.242000000
005404,68.242000000
005409,68.242000000
005410,68.242000000
005412,68.242000000
005413,68.243000000
005414,68.244000000
005415,68.262000000
005415,68.243000000
005416,68.244000000
005418,68.300100000
005418,68.244000000
005423,68.243000000
005424,68.244000000
005425,68.244000000
005426,68.245000000
005427,68.244000000
005428,68.244000000
005429,68.244000000
005430,68.243000000
005431,68.244000000
005432,68.243000000
005433,68.243000000
005435,68.243000000
005436,68.243000000
005436,68.243000000
005437,68.243000000
005438,68.243000000
005439,68.241000000
005440,68.242000000
005441,68.242000000
005442,68.242000000
005443,68.242000000
005444,68.242000000
005445,68.242000000
005445,68.260000000
005446,68.242000000
005447,68.241000000
005449,68.296100000
005450,68.240000000
005451,68.240000000
005452,68.240000000
005454,68.240000000
005455,68.240000000
005456,68.240000000
005458,68.239000000
005459,68.240000000
005500,68.331000000
005500,68.242000000
005501,68.241000000
005502,68.240000000
005504,68.241000000
005506,68.241000000
005509,68.241000000
005510,68.242000000
005511,68.241000000
005512,68.241000000
005512,68.242000000
005513,68.242000000
005513,68.241000000
005515,68.263000000
005515,68.241000000
005516,68.241000000
005517,68.242000000
005518,68.241000000
005520,68.242000000
005520,68.298800000
005521,68.242000000
005522,68.242000000
005525,68.243000000
005526,68.241000000
005529,68.242000000
005530,68.241000000
005531,68.243000000
005532,68.243000000
005533,68.243000000
005534,68.244000000
005536,68.244000000
005537,68.244000000
005537,68.244000000
005538,68.244000000
005548,68.244000000
005549,68.244000000
005550,68.243000000
005551,68.297500000
005551,68.261000000
005552,68.243000000
005555,68.243000000
005557,68.241000000
005558,68.240000000
005559,68.240000000
005600,68.240000000
005601,68.240000000
005603,68.240000000
005610,68.240000000
005612,68.240000000
005614,68.240000000
005615,68.239000000
005616,68.238000000
005618,68.239000000
005619,68.239000000
005620,68.239000000
005621,68.238000000
005621,68.257000000
005622,68.293200000
005622,68.240000000
005632,68.240000000
005639,68.240000000
005641,68.239000000
005642,68.238000000
005644,68.239000000
005645,68.239000000
005646,68.238000000
005647,68.239000000
005648,68.239000000
005651,68.239000000
005651,68.255000000
005652,68.238000000
005653,68.291400000
005653,68.239000000
005655,68.238000000
005657,68.237000000
005659,68.237000000
005701,68.237000000
005707,68.237000000
005709,68.237000000
005717,68.237000000
005721,68.237000000
005722,68.253000000
005722,68.238000000
005724,68.288300000
005724,68.238000000
005725,68.237000000
005727,68.238000000
005728,68.237000000
005732,68.237000000
005733,68.236000000
005734,68.236000000
005735,68.236000000
005739,68.237000000
005740,68.237000000
005741,68.237000000
005742,68.237000000
005743,68.238000000
005745,68.237000000
005746,68.237000000
005748,68.237000000
005749,68.239000000
005750,68.237000000
005751,68.239000000
005753,68.239000000
005755,68.290800000
005755,68.240000000
005756,68.239000000
005758,68.239000000
005758,68.239000000
005759,68.239000000
005811,68.239000000
005812,68.239000000
005814,68.240000000
005817,68.240000000
005818,68.239000000
005820,68.238000000
005822,68.254000000
005826,68.291400000
005831,68.238000000
005832,68.235000000
005834,68.235000000
005835,68.234000000
005836,68.235000000
005838,68.234000000
005839,68.234000000
005840,68.235000000
005841,68.234000000
005842,68.234000000
005843,68.235000000
005844,68.233000000
005845,68.232000000
005846,68.232000000
005847,68.232000000
005848,68.232000000
005849,68.232000000
005850,68.232000000
005851,68.232000000
005852,68.251000000
005854,68.231000000
005855,68.231000000
005856,68.231000000
005857,68.287100000
005857,68.231000000
005858,68.231000000
005859,68.229000000
005900,68.229000000
005901,68.229000000
005902,68.229000000
005903,68.228000000
005904,68.229000000
005905,68.227000000
005906,68.227000000
005907,68.227000000
